Event	ID	Name			Wwise Object Path	Notes
	304224554	PlayerWeaponThrow			\Default Work Unit\SFX\Player\PlayerWeaponThrow	
	365012518	TreeLoop_Stop			\Default Work Unit\SFX\Environment\Trees\TreeLoop_Stop	
	546269234	WeaponThrowHit			\Default Work Unit\SFX\Environment\Weapon\WeaponThrowHit	
	778605252	Ambiance_Start			\Default Work Unit\SFX\Ambiance\Ambiance_Start	
	794424115	EnemyDie			\Default Work Unit\SFX\Environment\Enemy\EnemyDie	
	846198821	PlayerLand			\Default Work Unit\SFX\Player\PlayerLand	
	1135007409	WaterStreamLoop_Start			\Default Work Unit\SFX\Environment\WaterStream\WaterStreamLoop_Start	
	1192384307	PlayerSlowTime_Start			\Default Work Unit\SFX\Player\PlayerSlowTime_Start	
	1218826761	GrappleHit			\Default Work Unit\SFX\Environment\Grapple\GrappleHit	
	1676813030	TreeLoop_Start			\Default Work Unit\SFX\Environment\Trees\TreeLoop_Start	
	1681012287	PlayerFootsteps			\Default Work Unit\SFX\Player\PlayerFootsteps	
	1719091540	ProjectileLoop_End			\Default Work Unit\SFX\Environment\Enemy\ProjectileLoop_End	
	2169369406	PlayerAttack			\Default Work Unit\SFX\Player\PlayerAttack	
	2208730032	EnemyIdle_Start			\Default Work Unit\SFX\Environment\Enemy\EnemyIdle_Start	
	2332663964	PlayerGrappleShoot			\Default Work Unit\SFX\Player\PlayerGrappleShoot	
	2446068219	EnemyFire			\Default Work Unit\SFX\Environment\Enemy\EnemyFire	
	2496706759	ProjectileLoop_Start			\Default Work Unit\SFX\Environment\Enemy\ProjectileLoop_Start	
	2756753979	FindEgg			\Default Work Unit\SFX\Player\FindEgg	
	2892408348	EnemyIdle_Stop			\Default Work Unit\SFX\Environment\Enemy\EnemyIdle_Stop	
	3045561464	Ambiance_Stop			\Default Work Unit\SFX\Ambiance\Ambiance_Stop	
	3482172785	PlayerSlowTime_Stop			\Default Work Unit\SFX\Player\PlayerSlowTime_Stop	
	3831688773	PlayerHit			\Default Work Unit\SFX\Player\PlayerHit	
	4008126242	PlayerJump			\Default Work Unit\SFX\Player\PlayerJump	
	4061945899	WaterStreamLoop_Stop			\Default Work Unit\SFX\Environment\WaterStream\WaterStreamLoop_Stop	

Switch Group	ID	Name			Wwise Object Path	Notes
	354267144	Terrain			\Default Work Unit\SFX\Terrain	
	1493153371	PlayerSpeed			\Default Work Unit\SFX\PlayerSpeed	

Switch	ID	Name	Switch Group			Notes
	491961918	Forest	Terrain			
	712897245	Mud	Terrain			
	803837735	Sand	Terrain			
	2058049674	Wood	Terrain			
	2144363834	Rock	Terrain			
	4248645337	Grass	Terrain			
	712161704	Run	PlayerSpeed			
	2108779966	Walk	PlayerSpeed			

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	101495991	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Ambiance\Ambiance\Birds\BirdsD\Silence\Wwise Silence	
	224253569	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Ambiance\Ambiance\Birds\BirdsA\Silence\Wwise Silence	
	476178485	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Ambiance\Ambiance\Birds\BirdsC\Silence\Wwise Silence	
	796467275	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Enemy\Idle\Silence\Wwise Silence	
	915912139	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\Attack\Silence\Wwise Silence	
	951892128	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Ambiance\Ambiance\Birds\BirdsB\Silence\Wwise Silence	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	19835226	EnemyIdle2	C:\Users\Nicolas\Documents\Projects\Games\GGJ2021-TBA\GGJ2021_TBA\GGJ2021_TBA_WwiseProject\.cache\Mac\SFX\EnemyIdle2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Enemy\Idle\EnemyIdle2		161700
	20022400	FootstepsRunForest04	C:\Users\Nicolas\Documents\Projects\Games\GGJ2021-TBA\GGJ2021_TBA\GGJ2021_TBA_WwiseProject\.cache\Mac\SFX\FootstepsRunForest04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\Footsteps\Forest\RunForest\FootstepsRunForest04		146888
	37765110	FootstepsGrassWalk5	C:\Users\Nicolas\Documents\Projects\Games\GGJ2021-TBA\GGJ2021_TBA\GGJ2021_TBA_WwiseProject\.cache\Mac\SFX\FootstepsGrassWalk5_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\Footsteps\Grass\WalkGrass\FootstepsGrassWalk5		55988
	38183463	PlayerLand1	C:\Users\Nicolas\Documents\Projects\Games\GGJ2021-TBA\GGJ2021_TBA\GGJ2021_TBA_WwiseProject\.cache\Mac\SFX\PlayerLand1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\Land\PlayerLand1		95320
	38907752	EnemyDie6	C:\Users\Nicolas\Documents\Projects\Games\GGJ2021-TBA\GGJ2021_TBA\GGJ2021_TBA_WwiseProject\.cache\Mac\SFX\EnemyDie6_1C5B3D48.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Enemy\Die\EnemyDie6		673856
	71479979	BirdsB3	C:\Users\Nicolas\Documents\Projects\Games\GGJ2021-TBA\GGJ2021_TBA\GGJ2021_TBA_WwiseProject\.cache\Mac\SFX\BirdsB3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Ambiance\Ambiance\Birds\BirdsB\BirdsB3		663264
	71937375	EnemyProjectile2	C:\Users\Nicolas\Documents\Projects\Games\GGJ2021-TBA\GGJ2021_TBA\GGJ2021_TBA_WwiseProject\.cache\Mac\SFX\EnemyProjectile2_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\EnemyProjectile\EnemyProjectile2		384064
	86295984	BirdsB1	C:\Users\Nicolas\Documents\Projects\Games\GGJ2021-TBA\GGJ2021_TBA\GGJ2021_TBA_WwiseProject\.cache\Mac\SFX\BirdsB1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Ambiance\Ambiance\Birds\BirdsB\BirdsB1		487736
	97431091	CicadasLoop1	C:\Users\Nicolas\Documents\Projects\Games\GGJ2021-TBA\GGJ2021_TBA\GGJ2021_TBA_WwiseProject\.cache\Mac\SFX\CicadasLoop1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Ambiance\Ambiance\Cicadas\CicadasLoop1		1152064
	116023839	EnemyDie4	C:\Users\Nicolas\Documents\Projects\Games\GGJ2021-TBA\GGJ2021_TBA\GGJ2021_TBA_WwiseProject\.cache\Mac\SFX\EnemyDie4_1C5B3D48.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Enemy\Die\EnemyDie4		559168
	117138191	CloseFoliage1	C:\Users\Nicolas\Documents\Projects\Games\GGJ2021-TBA\GGJ2021_TBA\GGJ2021_TBA_WwiseProject\.cache\Mac\SFX\CloseFoliage1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\FoliageClose\CloseFoliage1		1440064
